city,date,actual_precipitation,average_precipitation,record_precipitation
CLT,Jan 2014,2.8,3.41,56.44
CLT,Feb 2014,3.02,3.32,50.39
CLT,Mar 2014,2.19,4.01,61.67
CLT,Apr 2014,6.14,3.04,59.67
CLT,May 2014,0.32,3.18,67.67
CLT,Jun 2014,2.73,3.74,70.61
CLT,Jul 2014,4.38,3.68,85.9
CLT,Aug 2014,3.74,4.22,81.86
CLT,Sep 2014,4.35,3.25,83.98
CLT,Oct 2014,1.35,3.4,75.36
CLT,Nov 2014,3.79,3.14,56
CLT,Dec 2014,2.57,3.25,56.7
CQT,Jan 2014,1.09,3.12,77.82
CQT,Feb 2014,0.83,3.8,70.24
CQT,Mar 2014,0.87,2.43,63.81
CQT,Apr 2014,0.13,0.91,36.14
CQT,May 2014,0.93,0.26,21.42
CQT,Jun 2014,0.01,0.09,6.26
CQT,Jul 2014,0,0.01,1.47
CQT,Aug 2014,0.04,0.04,6.47
CQT,Sep 2014,0.01,0.24,16.72
CQT,Oct 2014,0.25,0.66,27.38
CQT,Nov 2014,0.48,1.04,52.06
CQT,Dec 2014,3.88,2.33,71.7
IND,Jan 2014,1.81,2.66,50.09
IND,Feb 2014,1.34,2.32,45.59
IND,Mar 2014,3.53,3.56,63.9
IND,Apr 2014,4,3.81,56.15
IND,May 2014,2.45,5.05,63.61
IND,Jun 2014,8.36,4.25,68.71
IND,Jul 2014,3.1,4.55,79.16
IND,Aug 2014,2.95,3.13,66.65
IND,Sep 2014,2.53,3.12,69.6
IND,Oct 2014,3.17,3.12,54.97
IND,Nov 2014,2.8,3.7,62.07
IND,Dec 2014,2.55,3.17,49.3
JAX,Jan 2014,3.08,3.31,63.19
JAX,Feb 2014,3.32,3.19,65.16
JAX,Mar 2014,2.29,3.95,79.59
JAX,Apr 2014,2.67,2.64,67.87
JAX,May 2014,1.08,2.48,91.78
JAX,Jun 2014,6.32,6.45,115.77
JAX,Jul 2014,2.75,6.55,86.58
JAX,Aug 2014,3.03,6.8,105.88
JAX,Sep 2014,9.8,8.19,137.17
JAX,Oct 2014,1.87,3.93,122.14
JAX,Nov 2014,3.96,2.11,54.71
JAX,Dec 2014,3.74,2.8,70.84
KHOU,Jan 2014,3.17,3.38,74.28
KHOU,Feb 2014,0.66,3.2,54.01
KHOU,Mar 2014,6.34,3.41,82.31
KHOU,Apr 2014,6.1,3.31,96.15
KHOU,May 2014,14.17,5.09,121.78
KHOU,Jun 2014,11.19,5.93,107.53
KHOU,Jul 2014,5.4,3.79,88.84
KHOU,Aug 2014,1.24,3.76,88.18
KHOU,Sep 2014,3.88,4.12,95.7
KHOU,Oct 2014,3.45,5.7,118.02
KHOU,Nov 2014,3.4,4.34,90.17
KHOU,Dec 2014,5.6,3.74,84.05
KNYC,Jan 2014,5.23,3.65,58.02
KNYC,Feb 2014,2.04,3.09,55.22
KNYC,Mar 2014,4.72,4.36,70
KNYC,Apr 2014,2.08,4.5,72.92
KNYC,May 2014,1.86,4.19,63.47
KNYC,Jun 2014,4.75,4.41,66.38
KNYC,Jul 2014,5.59,4.6,73.94
KNYC,Aug 2014,2.25,4.44,98.05
KNYC,Sep 2014,1.21,4.28,98.65
KNYC,Oct 2014,5.77,4.4,90.49
KNYC,Nov 2014,4.51,4.02,65.39
KNYC,Dec 2014,6.04,4,58.41
KSEA,Jan 2014,3.66,5.57,49.01
KSEA,Feb 2014,5.27,3.5,39.02
KSEA,Mar 2014,4.47,3.72,36.56
KSEA,Apr 2014,2.03,2.71,29.17
KSEA,May 2014,0.58,1.94,23.18
KSEA,Jun 2014,0.23,1.57,22.12
KSEA,Jul 2014,0.77,0.7,15
KSEA,Aug 2014,1.81,0.88,23.23
KSEA,Sep 2014,2.23,1.5,26.25
KSEA,Oct 2014,6.75,3.48,38.9
KSEA,Nov 2014,4.84,6.57,54.5
KSEA,Dec 2014,4.79,5.35,47.18
MDW,Jan 2014,1.23,2.06,33.05
MDW,Feb 2014,0.24,1.94,28.39
MDW,Mar 2014,0.48,2.72,40.55
MDW,Apr 2014,2.94,3.64,47.64
MDW,May 2014,4.13,4.13,51.79
MDW,Jun 2014,4.37,4.06,67.04
MDW,Jul 2014,5.18,4.01,77.24
MDW,Aug 2014,9.28,3.99,64.11
MDW,Sep 2014,2.5,3.31,60.49
MDW,Oct 2014,3.64,3.24,55.95
MDW,Nov 2014,1.27,3.42,44.51
MDW,Dec 2014,0.78,2.57,40.48
PHL,Jan 2014,4.52,3.03,50.63
PHL,Feb 2014,2.36,2.65,46.39
PHL,Mar 2014,5.52,3.79,54.43
PHL,Apr 2014,3.58,3.56,60.45
PHL,May 2014,1.19,3.71,58.26
PHL,Jun 2014,8.88,3.43,71.3
PHL,Jul 2014,4.3,4.35,85.5
PHL,Aug 2014,3.55,3.5,90.56
PHL,Sep 2014,1.69,3.78,83.63
PHL,Oct 2014,2.53,3.18,65.38
PHL,Nov 2014,4.07,2.99,58.11
PHL,Dec 2014,3.27,3.56,54.8
PHX,Jan 2014,0.81,0.91,26.65
PHX,Feb 2014,0.01,0.92,22.85
PHX,Mar 2014,0.33,0.99,24.79
PHX,Apr 2014,0.18,0.28,15.2
PHX,May 2014,1.17,0.11,8.49
PHX,Jun 2014,0.25,0.02,7.16
PHX,Jul 2014,0.06,1.05,35.07
PHX,Aug 2014,1.17,1,31.62
PHX,Sep 2014,5.1,0.64,36.2
PHX,Oct 2014,0.13,0.58,21.88
PHX,Nov 2014,0,0.65,25.85
PHX,Dec 2014,0.91,0.88,25.46
